index,user_id,follower_id,weight
1,79550166979556554,91256481400231745,0
2,79550166979556554,91058246590142398,0
3,79550166979556554,91509275973654123,0
4,79550166979556554,91508432140506643,0
5,79550166979556554,91507238744626618,0
6,79550166979556554,89091568584103173,2
7,79550166979556554,91149186850887322,4
8,79550166979556554,91504669489108854,0
9,79550166979556554,91458586877630400,0
10,79550166979556554,91438367982490876,0
11,79550166979556554,88747935925278542,0
12,79550166979556554,91424256292820390,0
13,79550166979556554,91398163165877302,0
14,79550166979556554,91338796408247367,0
15,79550166979556554,91333443608122961,0
16,79550166979556554,91329664972232653,0
17,79550166979556554,90998612747622088,0
18,79550166979556554,91251219080681369,2
19,79550166979556554,91250199569110335,0
20,79550166979556554,91242226876684233,0
21,79550166979556554,91235591517115516,0
22,79550166979556554,91237388350657807,0
23,79550166979556554,91235289179100598,0
24,79550166979556554,91236048144700542,2
25,79550166979556554,40613603377890152,0
26,79550166979556554,91234686141994393,2
27,79550166979556554,91226419271570770,0
28,79550166979556554,91030081102681530,0
29,79550166979556554,91175136531584120,2
30,79550166979556554,91172659527685630,0
31,79550166979556554,18435366945145115,0
32,79550166979556554,91048463086655194,0
33,79550166979556554,91163187693491499,0
34,79550166979556554,91161265310799294,0
35,79550166979556554,91005241957291307,8
36,79550166979556554,91055996242237193,0
37,79550166979556554,27689968077305319,0
38,79550166979556554,91142814346253654,0
39,79550166979556554,91107511687452621,0
40,79550166979556554,91058736397817571,0
41,79550166979556554,91099773042431617,0
42,79550166979556554,91096501138233217,2
43,79550166979556554,91095733341525885,6
44,79550166979556554,91069277311866456,0
45,79550166979556554,91078588449690992,0
46,79550166979556554,91091756179789122,6
47,79550166979556554,91024958883370958,0
48,79550166979556554,91070792126699393,0
49,79550166979556554,91090504802899033,2
50,79550166979556554,91000029604484803,0
51,79550166979556554,89644383906829453,0
52,79550166979556554,27501784419726604,6
53,79550166979556554,91086966936835327,0
54,79550166979556554,91011184932689156,0
55,79550166979556554,91001195120825900,0
56,79550166979556554,91083055662371854,0
57,79550166979556554,90998679391966631,30
58,79550166979556554,91073352034162370,0
59,79550166979556554,91073573820569354,0
60,79550166979556554,45172552098857843,0
61,79550166979556554,19016538645459457,12
62,79550166979556554,91062173978072339,0
63,79550166979556554,91003813674096254,2
64,79550166979556554,91009383394187198,16
65,79550166979556554,88376551684446192,0
66,79550166979556554,91003561042777870,0
67,79550166979556554,91003739325863894,0
68,79550166979556554,91059038829156285,0
69,79550166979556554,71622112482166490,0
70,79550166979556554,81760902917915673,0
71,79550166979556554,87294892341991347,0
72,79550166979556554,91056874362771105,0
73,79550166979556554,91000851252909814,2
74,79550166979556554,91056380711015493,0
75,79550166979556554,91056363692627496,0
76,79550166979556554,91007442271343758,0
77,79550166979556554,91056128253760600,0
78,79550166979556554,91056003293910114,0
79,79550166979556554,91055268600747563,0
80,79550166979556554,91055545253893896,0
81,79550166979556554,91055450491983541,0
82,79550166979556554,91053484852385636,8
83,79550166979556554,27841220179326172,0
84,79550166979556554,27496797004030110,4
85,79550166979556554,91052724594939184,2
86,79550166979556554,91048366820038186,0
87,79550166979556554,91052141471339872,0
88,79550166979556554,91050618693621546,0
89,79550166979556554,91051990086325990,0
90,79550166979556554,91051950950323527,0
91,79550166979556554,91051916333684699,0
92,79550166979556554,91048598649705712,2
93,79550166979556554,90875594777040870,8
94,79550166979556554,91051232358044872,0
95,79550166979556554,27486047069736450,0
96,79550166979556554,91050498239501748,0
97,79550166979556554,91049981605058550,0
98,79550166979556554,91001332098405474,2
99,79550166979556554,42788305970894754,4
100,79550166979556554,91048041928201669,0
101,79550166979556554,91047106275447873,0
102,79550166979556554,91006380820927854,0
103,79550166979556554,90998682359436890,0
104,79550166979556554,91046309824304466,0
105,79550166979556554,91046382132008932,0
106,79550166979556554,91036164812707704,0
107,79550166979556554,91002686557656284,4
108,79550166979556554,91044939475981713,0
109,79550166979556554,91035075640039127,0
110,79550166979556554,91042886861198471,0
111,79550166979556554,91044093942044557,0
112,79550166979556554,90998393878353877,0
113,79550166979556554,91044071950259211,0
114,79550166979556554,91043450419418318,0
115,79550166979556554,91042816824710289,0
116,79550166979556554,91042732737303577,0
117,79550166979556554,91041025682838930,0
118,79550166979556554,91041676168009120,0
119,79550166979556554,91041983567501068,0
120,79550166979556554,62804702841760325,0
121,79550166979556554,90997842150168167,0
122,79550166979556554,91004832041669877,0
123,79550166979556554,90997224699336242,2
124,79550166979556554,91040996284961936,0
125,79550166979556554,91040776756139361,0
126,79550166979556554,91038537893287827,4
127,79550166979556554,91040285964899356,0
128,79550166979556554,90997954831193897,0
129,79550166979556554,91040134061889266,0
