index,user_id,username,full_name,total_follower
1,88747935925278542,Lotus_408924553452,Mr Lợi Hồ,3
2,88747935925278542,Lotus_408924553452,Mr Lợi Hồ,0
3,48245290604401994,Lotus_2387661488458,triêu vy ,108
4,78573527746217904,Lotus_3239993626279,TRUNG NAM COMPANY,80
5,18446705155490047,Lotus_4059149565560,Thọ Nguyên,1326
6,18585483636744786,hoi.89py,"TUY HOÀ ,  PHÚ YÊN XỨ HOA VÀNG CỎ XANH",571
7,28069011006341190,huanbv,Huan Bui,86
8,18455596436934445,Karaoke,Hot Girl ®️,3187
9,88846954500462487,chuyensiqategiare,Chuyên Sỉ Qate Giá Xưởng,9
10,85274892047489017,Lotus_2677033747485,Nini Vien,36
11,90193426812769517,Lotus_1903715922444,Ttt,0
12,90193151366534171,Lotus_3226865024347,Tu,0
13,90192874814052259,Lotus_267307247020,Tu,0
14,90192270995756409,Lotus_8110679647,Tu,0
15,90192011683960046,Lotus_4148336365436,Le hang trung,0
16,90191912059803092,Lotus_2468678004470,Tt,0
17,90191637306676363,Lotus_3075381158280,Yu,0
18,90191345409332255,Lotus_2903428114961,Ry,0
19,90187738823792039,Lotus_1341898586169,Hhhjjjj,0
20,90183188805064250,Lotus_340827109167,Nguyễn Ngọc Vũ,0
21,20253927898515459,MecuaDangChauUyen,Nguyễn Kim Anh ,12
22,90179500199909121,Lotus_3586818192207,Phạm Đoàn Tuấn Vũ,0
23,90177760774854063,Lotus_2302130939571,Yu,0
24,90177424410548125,Lotus_2422417414325,Aaa,0
25,90177066464450209,Lotus_452761076515,Tt,0
26,90175389108802891,Lotus_123961950024,Hsheheh,0
27,90173387283895956,Lotus_1226610452965,Tt,0
28,90173052605699457,Lotus_1043556930272,Djkd,0
29,90172252269581490,Lotus_4135928516777,Hruru,0
30,90171891891836575,Lotus_536202890904,Jwjejej,0
31,90165625806132579,Lotus_3710805749765,Jj,0
32,90163223454553869,Lotus_4265247020941,Hđjdjd,0
33,90163163016729918,Lotus_198212198822,Nguyễn Thị Cac,0
34,90162076939458051,Lotus_1761563611437,Nguyễn thị đb,0
35,90160565801981555,Lotus_1951128033750,Nguyễn văn C,0
36,90156920075196322,Lotus_2781200796652,Lmaolmao,0
37,90156250132649615,Lotus_4148883487485,Jshehe,0
38,90155753332020586,Lotus_2916517460539,Nguyễn Thị Mắc Cười,0
39,90150564871018136,Lotus_2042183682110,Lotus_2042183682110,0
40,90149565720696386,Lotus_3664750362434,Lotus_3664750362434,0
41,90148932583167832,Lotus_2150980015858,Be long,0
42,90146111029778199,Lotus_4108473134351,Clone,0
43,25447222801729424,Lotus_2111104370495,nguyen hung,164
44,18510325932474890,Lotus_3662130035148,thanhha178,0
45,90107663999833132,Lotus_3647513449194,Nhji,1
46,90086415727072958,Lotus_295100730551,Phạm tuấn,1
47,89541766781343250,992Straw00000,Ngọc Ngân,2
48,89915070582101361,Lotus_46551222171,Đặng Thành Trung,1
49,90077748228265764,Lotus_1570105666397,Ggg,1
50,90077322661598216,Lotus_1615823300127,Hsheh,1
51,90077060104460171,Lotus_1353761026259,Usue,1
52,90076036255978643,Lotus_164193068404,Phong vu,1
53,90076042575746926,Lotus_2735372275265,Hdjdjhd,1
54,90075681105385221,Lotus_3447149054609,Itsitix,1
55,90071534476990325,Lotus_1202849050295,TN,1
56,90070556571866162,Lotus_3901130286671,Tt,0
57,90070253613093914,Lotus_1099142410681,Tt,0
58,90069930926412895,Lotus_290627135989,Rr,0
59,90069629303526934,Lotus_3572106422253,kohije,0
60,18436246940532852,decente.28,Nguyễn Thùy Trang,25
61,90065333229983322,Lotus_180372914771,Tt,0
62,90065084477347188,Lotus_3665713349863,Qq,0
63,90064840853296581,Lotus_135378861995,Anh anh,0
64,90064717936072512,Lotus_3487513625880,Tt,0
65,90064353232950690,Lotus_1987445974293,Qq,0
66,90064312182248498,Lotus_957731735494,Hân hân,0
67,90064015764494291,Lotus_2475950545872,Siêu hân,0
68,90063696725808800,Lotus_3642967121859,Siêu nhân,0
69,90059246053365750,Lotus_473541335432,Uuu,0
70,90058968659924546,Lotus_4259018606968,Rr,0
71,90058673538208814,Lotus_333073289479,TT,0
72,90058377389938586,Lotus_276103514023,Đyy,0
73,90055964831519800,Lotus_1473422303804,Lotus_1473422303804,1
74,81078333466477829,Lotus_3496701102283,pham hoai tam anh,2
75,90053263880099568,Lotus_4272715657687,Nguyễn văn chiến,0
76,90053321019102338,Lotus_2742171573527,Buu,0
77,90038564233942051,Lotus_4290454434123,Py nè,0
78,90015156949488937,Lotus_109958885921,Nguyễn Thanh Vũ,0
79,73940899152791274,Lotus_990441777320,Snape,5
80,90002631514134084,Lotus_2461626571432,Fifi,0
81,89998850248414837,Lotus_2542802908190,cuong,0
82,89997007691716018,Lotus_933663592893,Em ơi,0
83,28069011006341190,huanbv,Huan Bui,86
84,89992899815544087,Lotus_2360261246480,Long,0
85,89983638170506722,Lotus_4066705977105,Ggggg,0
86,89983441818359726,Lotus_1566591888143,Dịu Then,0
87,84893598424766024,Lotus_247214705083,Nguyễn văn thủy,0
88,89973874320479871,Lotus_1370588312852,Nguyễn zăn B,0
89,89972051370055583,Lotus_495321154560,Nguyễn zăn A,1
90,89969548671849472,Lotus_3435855515757,Trần Nguyên,0
91,89960076640523908,Lotus_3862302194368,Diệu Thanh,1
92,89379372297884984,Lotus_2460944750870,NGUYỄN THỊ THU TI,2
93,18434344580399837,toiladungx,Đức Dũng,3
94,89952540203947834,Lotus_2572458649992,Lilthy,0
95,89948689341093802,Lotus_2893559851393,Tiên Tiên,0
96,18510144309415691,Bupbubam,Nguyễn Phước Toàn,0
97,89927000718841576,Lotus_341288181231,Tuan Dang,0
